,Company,Regional Data,Company Size,Industry,Revenue,Founded,Job Description
116,ProntoForms,"Ottawa, ON",51 to 200,Information Technology,$5M to $25M (USD),2001.0,"
#CareersThatKickSaas! ProntoForms continues to expand in 2023 and we are looking for a Sales Development Representative to join our growing sales team. If you are looking to begin your career in sales, enjoy connecting with people and want to help take the company to the next level, this is the role for you!
 Must be located in OTTAWA, ON to collaborate in office 3 days/week.
 A ProntoForms Sales Development Representative is an ambitious and hardworking individual that:

Knows how to collaborate with customers and partners across the globe to help them leverage the ProntoForms platform.
Generate new business through inbound/outbound calls and targeted emails to potential clients, offering tailored solutions to solve/improve business process problems.
Ability to qualify prospective customers through targeted questions about their business strategy then leveraging this information to align and sell ProntoForms product offerings.
Work closely with marketing to create email and LinkedIn campaigns to increase company and personal brand awareness. 
Able to spend long periods of time on the phone prospecting new clients. 
Schedule appointments between prospects and our Account Executives. 
Strategic use of CRM to record information and identify further opportunities in your assigned territory. 
Exceeds daily activity metrics and product demonstration quotas. 
Enjoys brainstorming creative ways to raise awareness and improve performance through frequent team meetings.

The right candidate:

Previous experience working in a sales or marketing environment including Retail, Technology, Mobile considered an asset.
Possesses a confident, clear and concise communication style – written and verbal.
Is goal oriented, motivated and organized.
Quick learner, tech-savvy, and able to work in a fast-paced environment.
Is accountable and manages their time effectively, accurately tracking and logging daily activities.
Loves problem solving and asks insightful questions.
Is resilient, and confidently handles objections.
Shares innovative ideas and thinks outside-the-box.
Has the natural ability to have conversations with a variety of business professionals. 
Must Haves: A University or College Degree in a similar or related field. 
Nice to Haves: MBA, +2 years outbound or inbound sales experience, experience/knowledge of the SaaS industry.

Compensation, Perks and Opportunities:

Competitive base + variable compensation for hitting and exceeding targets. You will be fully supported, coached, and mentored towards becoming an industry expert.
Career path –This is the perfect entry-level position for someone looking to hone their skills and earn their stripes in SaaS sales. Successful BDRs have gone on to establish leadership roles within our Sales Development Team, Account Development, and Marketing teams.
Opportunity to work for a rapidly growing company directly affiliated with global brands such as Apple, Google, Microsoft, Samsung, Rogers, Bell, AT&T and more.
Team social events
ProntoFit yearly allowance
Great time off benefits (4 weeks of vacation + ProntoMe days + ProntoCares day)
Health Benefits on Day 1 Flexible work hours 
  -> must be located in OTTAWA, ON to collaborate in office 3 days/week.

If you are looking for the opportunity to embrace and be part of a truly unique company culture, this KickSaaS opportunity might just be for you!
"
117,Rogers Communications,"535 7 Ave SW, Calgary, AB","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

Are you ready to take your career to new heights and be a part of a dynamic team at Rogers Sports & Media? We believe in creativity, innovation, and collaboration in everything we do, and we are looking for people who share this mindset to join us. With a monthly reach of 30 million Canadians, you can help shape the future of sports, news, e-commerce, and entertainment. At Rogers, we value diversity and inclusivity and believe that every voice matters. Join us today and be a part of a team that is redefining the future of media.

 The Rogers Sports & Media group of radio stations is looking for a dynamic part-time Brand Ambassador / Promotions Representative to join our fun, dedicated and hardworking team, representing the brands of STAR 95.9, JACK 96.9, Sportsnet 960, CityNews 660 and Mountain FM.
 Reporting to the Branded Content & Integrations Lead, the successful candidate will hit the ground running and exceed expectations within our multi-format team. Your role will be to deliver outstanding brand representation at promotional events in an energetic and professional manner.


 Description...


Execute station events and on-site promotions, representing the company with professionalism.
Interact with clients, staff and the public with enthusiasm and authenticity.
Set-up broadcast remotes with all required components (technical, prizing, staff, vehicle and signage).
Post to station Social Media accounts.
Maintain promotional signage, draw boxes, entry forms and equipment.
Attend station and client events as needed.
Provide detailed post-event wrap reports in a timely manner.
Drive and maintain station vehicles.
Other duties as required.


Qualifications...


Previous event experience an asset.
Must be available to work flexible hours including evenings and weekends.
Punctual and detail orientated.
Strong interpersonal and communication skills.
Team player with a positive attitude and the ability to work well under minimal supervision in a fast-paced environment.
Experience with Microsoft Word, PowerPoint and Excel.
Experience and knowledge of posting to various Social Media platforms.
Must be able to lift up to 50lbs.
Must hold a valid full Alberta Class 5 drivers licence (not GDL) and provide a current drivers abstract.



 As part of the recruitment process, a criminal and/or credit background check may be requires, as well as a drivers abstract

 Schedule: Part time Shift: Variable Length of Contract: No Selection Work Location: 535 7th Avenue Sout West (811), Calgary, AB Travel Requirements: Up to 10% Posting Category/Function: Marketing & Promotions / Event Requisition ID: 294895

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Rogers Sports & Media
"
118,BrokerLink,"Gibbons, AB","501 to 1,000",Insurance,$25M to $100M (USD),1991.0,"



    Job Details
   


Description




Being a part of BrokerLink, means you live our values: to act with integrity, be respectful of others, have a customer-driven mindset, strive for excellence and always treat others with generosity. These values drive our diversity and inclusion efforts to ensure a respectful and inclusive work environment is present.
 We want like-minded individuals who want to provide the highest level of customer service, who carry themselves with utmost professionalism.
 We want to invest in you! Your success is our success and our purpose of “we’re here to help people” is what motivates us to keep the amazing talent we attract, for a long time. We want to bring out the best of all our team members! Offering countless opportunities to grow and an environment which values our most important assets, you, our team members. 
We have an opening for a Registry Agent to join our team working from our Gibbons Registries Office on a Permanent Full Time Basis.
 No experience is necessary, we offer all training on site. 
As part of our employee promise, here are some of the many perks of working with us:

Flexible health and dental insurance benefits package
Personal Spending amount to invest in your healthy lifestyle
RRSP - Registered Retirement Savings Plan with Company matching
ESPP-Employee Share Purchase Plan (TSX:IFC) program with matching aspect
‘Dress for your day’, dress according to your daily schedule
Competitive compensation package with bonus aspect
Employee discount program, including Apple, Bell, Rogers and more!
Paid Time Off in the form of: Personal days, Volunteer days, Exam/Study Time, Jury Duty and starting at 3 weeks of vacation per year!
Working for an employer who is regularly recognized as one of Canada’s best employers such as Kincentric 2022

 What the Role Entails:

Assess customer’s needs and use various databases to process over 160 different products on behalf of Service Alberta
Maintain a high level of integrity and follow all policies/procedures set forth by Service Alberta
Process services for Motor Vehicles, Corporate Registries, Vital Statistics, Personal Property and Land Titles. AHCIP designation is an added asset.
Order controlled and non-controlled inventory monthly
File and organize documents daily
Take photos for passport, travel visa, FAC license and permanent resident cards as needed

The Successful candidate will have:
 *If you feel you have the equivalent skills, please apply*

High School Diploma 
Basic General Registries Certificate is an asset but not required
CORES Level One is an asset but not required 
Strong customer focus
Demonstrated ability to handle multiple priorities successfully
Strong analytical and organizational skills
Excellent verbal and written communication skills
Ability to pass a criminal background check and credit check

We thank all applicants for their interest, but only those selected for an interview will be contacted.
 BrokerLink is committed to providing an accessible environment. Accommodations are available on request for candidates taking part in the selection process.
 BrokerLink is committed to creating and maintaining an inclusive environment which embraces our diversities and sees them as our strength! We want to foster a workplace that makes all our team members and customers feel welcome and appreciated.
 Discover more about BrokerLink! Visit our new dedicated Webpage - https://www.brokerlink.ca/campaign/discover-brokerlink
 At BrokerLink, we value diversity and are committed to creating an inclusive workplace that inspires each of us to be the best we can be. Join our team and make a difference!




"
119,Rogers Communications,"Ottawa, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

At Rogers, our retail team is the heart of our success. They don’t just embrace the latest technology and content—it's part of who they are. They're outgoing and approachable team members who want to share their knowledge and experience with others. They understand that our customers rely on technology to enhance and simplify their lives and they're excited to show customers how our latest products and services can help.

 We’re growing our teams and are looking for retail representatives who are committed to innovating by sharing ideas that have real business impacts and creating a best-in-class customer experience for our communities and neighbours in our retail stores from coast-to-coast-to-coast.

 Let’s help make your passion for the latest technology a career possible. Consider the following opportunity!

 What does it mean to join our Rogers Team?

 At Rogers, our retail team is the heart of our success. Our Sales Associates are outgoing and approachable team members who understand that our customers rely on technology to enhance and simplify their lives and stay connected. We are excited to show customers how our latest products and services can help, delivering best in class customer experiences in our retail stores

 As a Sales Associate, you can expect to:



 Enhance the retail experience in our stores, by providing best in class service and value-added solutions to our customers


 Promote Rogers & Fido brands, including Rogers Mastercard 
Engage and grow your customer base with personalized communication and outreach to customers via phone calls and business text messaging
 Participate in community events and outreach efforts to support local small businesses.
 Operate with a creative spirit that can adapt to an ever-changing environment while enjoying the thrill of hitting sales goals


 What’s in it for you:



 Competitive compensation plus commissions
 One of the best flex health benefits, RRSP, TFSA and Pension plans in Canada
 Mental Health and Support benefits- 100% coverage
 Employee and Family Assistance Program benefits
 Employee discounts that can offer up to 50% off our Rogers & Fido products and services
 A commitment to fostering an inclusive and diverse workplace where all our team members can bring their whole selves to work
 A flexible schedule, including evenings & weekends (Min 20 hours/week)
 Career growth and development opportunities


 What we’re looking for:



 You are great with people and are passionate about delivering an exceptional customer experience
 You love being part of a team and are a great collaborator
 You are excited and inspired by technology


 You meet the minimum age of majority in your province

 
After you apply, watch your email
 Candidates will be required to complete an online assessment as a next step. If you are selected to move forward in the process, our recruitment team will reach out to you discuss the position further. Successful candidates will be required to provide consent for and pass Background Check requirements.
  Schedule: Part time Shift: Variable Length of Contract: Not Applicable (Regular Position) Work Location: 1200 St Laurent Blvd Unit 248 (5461), Ottawa, ON Travel Requirements: Up to 10% Posting Category/Function: Retail (In Store / Hourly) & Sales and Service Requisition ID: 298199

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Retail
"
120,G1 Communications Ltd.,"Greater Toronto Area, ON",,,,,"G1 Communications Ltd. is an industry leader in contract work for Rogers Communications and is currently hiring for the following positions to join our growing team:
- General Labourer- RF Technician- Cable Technician- Swing Stage Operator- Directional Driller/Locator
Requirements (vary depending on position):
- VALID G LICENSE WITH A CLEAN DRIVER ABSTRACT - FOR ALL POSITIONS- Class A driver's license - with an ""R"" or ""Z"" endorsement an asset; with a clean driver's abstract and CVOR background - for Driller/Locator position- Bondable- Must be reliable- Must have a positive attitude & good communication skills- Must be able to work in fast paced working environment- Must have a strong work ethic- Must be punctual- Must be a team player and motivator- Must be able to work on a ladder- Experience with landscaping- Coaxial line, TDR, Meters (RF), locator - A-frame, signal mtr, splice distribution - cut-ins/cutovers, know your way around Rogers infrastructure, civil, MDU builds (RF Technician position)- Ability to work at heights- Able to lift heavy equipment, beams, cables and ropes (50+ lbs)- Read and interpret plans, locates or diagrams and perform required work (Driller/Locator position)- Help with site safety (setting up traffic plans, etc.) and assist with construction clean up and restoration as required- Strong commitment to safety - adhere to health & safety requirements and Book 7 standards for traffic conditions- Must have experience doing physical labour outdoors in all weather conditions- All other duties as required
Responsibilities and wage will vary depending on experience and position applied for.
Ideal Driller/Locator candidate will have a minimum of 1 year experience, as well as previous experience working around existing buried utilities.
Ideal Swing Stage Operator candidate will have a minimum of 1 year experience.
Willing to train the right candidate.
We thank all applicants, but only suitable candidates with the right credentials will be selected for interviews.
Job Type: Full-time
Salary: $18.00-$40.00 per hour
Schedule:

Monday to Friday

Ability to commute/relocate:

Greater Toronto Area, ON: reliably commute or plan to relocate before starting work (required)

Work Location: In person"
121,OEG Sports & Entertainment,"Edmonton, AB",,,,,"

About OEG Sports & Entertainment: 
OEG Sports & Entertainment (“OEG”) delivers leading sports, entertainment and other special event programming to fans and patrons in Canada and the United States. OEG owns the five-time Stanley Cup Champion Edmonton Oilers, the WHL’s three-time Memorial Cup Champion Edmonton Oil Kings, the AHL’s Bakersfield Condors and operates Rogers Place, the new home of the Oilers and Oil Kings, located in ICE District, Canada’s largest mixed-used sports and entertainment development.


 Role Summary: 
Reporting directly to the Manager, Payroll & Benefits, the Benefit Administrator is responsible for providing administration and support for benefits through all of OEG’s companies in Canada and the U.S


 Core Responsibilities and Duties: 

Administer OEG’s group benefit programs in Canada & US such as Life, AD&D, medical, dental, retirement, disability plans and wellness programs
Administer claims for both Short Term (STD) and Long Term (LTD)
Ensure the accuracy of all benefit enrollments, changes and terminations in our HRIS & vendor systems.
Respond to employee benefit inquiries
Assist employees with any claim issues and open enrolment
Monthly review and reconciliation of all benefit programs and invoicing, ensuring billing amounts are accurate
Recording benefit payments in Great Plains
Assist in year-end reporting (taxable benefits) with respect to T4’s, W2’s
Administer Workers Comp in Canada & US
COBRA administration
Annual ACA reporting
Coordinating and distributing all benefit packages when required
Maintaining accurate and updated benefit summaries
Ensure timely collection of all benefit documents
Recommend any best practices or efficiencies related to OEG’s benefit plans
Other duties as assigned



 Who You Are:

You are capable of handling confidential, sensitive and personal information
You have strong planning and organization skills
You have the ability to determine priorities with strict deadlines
You are well organized with a superior attention to detail
Ability to work individually and as part of a fun team in a fast-paced environment!



 Education, Experience and Skills:

Minimum two (2) years in Benefits Administration required
Post-Secondary education in a relevant field would be an asset
Experience with U.S. benefits an asset
Experience working with a variety of benefit providers
Proficiency in Excel functionality required
Exceptional communication skills to facilitate successful resolution of employee concerns and requests



 What's in it for you?

100% Employer-paid Health Benefit Plans
RSP Matching Program
Flexibility & hybrid work model
Oilers, Oil Kings, and Live Entertainment ticket options
Healthcare and Lifestyle Spending Account Options
On-Site secured parking and/or transit allowance
On-Site gym
Beautiful office space located in Rogers Place – with easy access to the LRT
Social team culture + employee events



 Next Steps:
 Thank you for your interest in joining our team! Those moving forward in the process will be contacted by a member of our team.

 Experience Preferred
 
 3

"
122,G1 Communications Ltd.,"Greater Toronto Area, ON",,,,,"G1 Communications Ltd. is an industry leader in contract work for Rogers Communications and is currently hiring for the following positions to join our growing team:
- General Labourer- RF Technician- Cable Technician- Swing Stage Operator- Directional Driller/Locator
Requirements (vary depending on position):
- VALID G LICENSE WITH A CLEAN DRIVER ABSTRACT - FOR ALL POSITIONS- Class A driver's license - with an ""R"" or ""Z"" endorsement an asset; with a clean driver's abstract and CVOR background - for Driller/Locator position- Bondable- Must be reliable- Must have a positive attitude & good communication skills- Must be able to work in fast paced working environment- Must have a strong work ethic- Must be punctual- Must be a team player and motivator- Must be able to work on a ladder- Experience with landscaping- Coaxial line, TDR, Meters (RF), locator - A-frame, signal mtr, splice distribution - cut-ins/cutovers, know your way around Rogers infrastructure, civil, MDU builds (RF Technician position)- Ability to work at heights- Able to lift heavy equipment, beams, cables and ropes (50+ lbs)- Read and interpret plans, locates or diagrams and perform required work (Driller/Locator position)- Help with site safety (setting up traffic plans, etc.) and assist with construction clean up and restoration as required- Strong commitment to safety - adhere to health & safety requirements and Book 7 standards for traffic conditions- Must have experience doing physical labour outdoors in all weather conditions- All other duties as required
Responsibilities and wage will vary depending on experience and position applied for.
Ideal Driller/Locator candidate will have a minimum of 1 year experience, as well as previous experience working around existing buried utilities.
Ideal Swing Stage Operator candidate will have a minimum of 1 year experience.
Willing to train the right candidate.
We thank all applicants, but only suitable candidates with the right credentials will be selected for interviews.
Job Type: Full-time
Salary: $18.00-$40.00 per hour
Schedule:

Monday to Friday

Ability to commute/relocate:

Greater Toronto Area, ON: reliably commute or plan to relocate before starting work (required)

Work Location: In person"
123,Rogers Communications,"166 Osborne St, Winnipeg, MB","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

Are you ready to take your career to new heights and be a part of a dynamic team at Rogers Sports & Media? We believe in creativity, innovation, and collaboration in everything we do, and we are looking for people who share this mindset to join us. With a monthly reach of 30 million Canadians, you can help shape the future of sports, news, e-commerce, and entertainment. At Rogers, we value diversity and inclusivity and believe that every voice matters. Join us today and be a part of a team that is redefining the future of media.

 Rogers Sports and Media is looking for a Radio Activation Specialist/ Promotions Coordinator to assist in developing and executing integrated campaigns across Music and News Radio Stations, Podcasting & Digital.

 Based out of the Winnipeg office, you will be part of a team of Activation Specialists (Promotions Coordinators) that collaborate with cross functional teams to create and execute contests, sponsorships, branded content and integration campaigns of all sizes that our audience and clients love.

 Reporting to the Branded Content & Integrations Lead, you are a curious and creative individual who loves being a part of a team; you’re detail orientated, agile, a self-starter, and you’re passionate about new and creative ideas that push boundaries.
 
If you love media, making connections in the community and understand that a radio station’s superpower is engaging locally and delivering positive results for clients, we encourage you to apply for this position.

 What you will do...

Coordinate campaigns as directed by a Branded Content & Integration Lead
Work collaboratively with Talent, Content, Revenue, and Production to execute campaigns ensuring all tactics are delivered and launch on time and within the expectations of our partners and gathering post-campaign insights
Develop and execute promotional ideas and plans
Support Content Directors as needed with contest setup, fulfilment and key on-site activations that enhance our brands
Maintain project and tracking calendars
Build proposals for internal and external clients
Setup and lead station events and on-site activity overseeing Street Team and key on-site events and remotes


 What you will bring...

High attention to detail and exceptional organizational skills
A solutions mindset and a flair for creative problem solving 
Strong interpersonal and communication skills
A growing understanding of media consumption trends, behaviours and branded storytelling
You are a self-motivated, team player with a positive attitude and a strong desire and passion to succeed
Ability to work well under minimal supervision in a fast-paced environment
Understanding of all social media platforms and best use
Real world content and contest creation experience is an asset.
Strong computer skills, including Microsoft Word, Power Point, Excel, Photoshop, Premiere Pro and WordPress
Must be willing to work flexible hours
Must hold a valid Class 5 driver's licence (not GDL) and provide driver's abstract.


 Here’s what you can expect in return...

 A manager who deeply cares about your development and long-term career at Rogers
 A competitive salary and benefits that include access to our Employee Share Accumulation Program, Retirement Benefits and a variety of other perks including 50% off Rogers services and Blue Jays tickets
 A team that trusts and wants to win together
 Smart and accomplished colleagues who are focused on both the “what” and the “how”
 Your choice of hardware and software (Mac or PC)
 Cell Phone (Apple or Android)


 Schedule: Full time Shift: No Selection Length of Contract: No Selection Work Location: 166 Osborne Street Unit 4 (095), Winnipeg, MB Travel Requirements: No Selection Posting Category/Function: Marketing & Promotions / Event Requisition ID: 296024

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Corporate
"
124,Rogers Communications,"333 Bloor St E, Toronto, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

At Rogers, our retail team is the heart of our success. They don’t just embrace the latest technology and content—it's part of who they are. They're outgoing and approachable team members who want to share their knowledge and experience with others. They understand that our customers rely on technology to enhance and simplify their lives and they're excited to show customers how our latest products and services can help.

 We’re growing our teams and are looking for retail representatives who are committed to innovating by sharing ideas that have real business impacts and creating a best-in-class customer experience for our communities and neighbours in our retail stores from coast-to-coast-to-coast.

 Let’s help make your passion for the latest technology a career possible. Consider the following opportunity!

 What does it mean to join our Rogers Team?

 At Rogers, our retail team is the heart of our success. Assistant Store Managers are the leaders of tomorrow, and personal and professional development is at the core. If you are looking to further your career in Retail Management, this is the ideal role to propel you to the next rewarding opportunity.

 As an Assistant Store Manager, you can expect to:



 Work with accountable leaders to help drive positive, solution-based customer interactions and experiences
 Encourage and coach your team to create best-in-class customer experiences and meet business goals
 Receive ongoing training and development to ensure you have all the necessary skills to support the team
 Support your store operations with a creative spirit that can adapt to an ever-changing environment
 Promote Rogers & Fido brands, including Rogers Mastercard
 Engage and grow your customer base with personalized communication and outreach to customers via phone calls and business text messaging
 Participate in community events and outreach efforts to support local small businesses.


 What’s in it for you:



 Competitive compensation, with a lucrative management bonus program
 One of the best flex health benefits, RRSP, TFSA and Pension plans in Canada
 Mental Health and support benefits- 100% coverage
 Employee and Family Assistance Program benefit
 Employee discounts that can offer up to 50% off our Rogers & Fido products and services
 A commitment to fostering an inclusive and diverse workplace where all our team members can bring their whole selves to work
 Advance your career growth and development opportunities
 Overtime pay eligibility


 What we’re looking for:



 You have a passion for influencing and inspiring teams
 An ability to deliver on business plans to meet regional, and store targets
 Leadership qualities which foster collaboration within the team
 A progressive thinker with a desire to think outside the box
 Ability to work a flexible schedule (ability to work 40 hours/week)
 You are excited and inspired by technology
 You meet the minimum age of majority (varies by province)


 After you apply
 Candidates will be required to complete an online assessment as a next step. If you are selected to move forward in the process, our recruitment team will reach out to you discuss the position further. Successful candidates will be required to provide consent for and pass Background Check requirements.
  Schedule: Full time Shift: Variable Length of Contract: Not Applicable (Regular Position) Work Location: 333 Bloor Street East - Store (333), Toronto, ON Travel Requirements: Up to 10% Posting Category/Function: Retail (Store Management / Corporate) & Store Management Requisition ID: 285639

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Retail
"
125,Tremble Communications,"10 Kingsmill Avenue, Guelph, ON",,,,,"Fibre Optic Splicers needed
We are excited to see what 2023 brings. We signed off on some large projects which will keep us busy for the next few years.
RESPONSIBILITIES:

Splice and test various types of fibre optic cable
Troubleshoots system problems for various customers
Can read system maps
Can operate all types of splicing and testing equipment
Knowledge of power requirements and power supply setup and maintenance
Will document all required information as the work happens
Will perform all other duties as required by departmental manager

QUALIFICATIONS:

2+ years Fibre Optic splicing experience, preferably in the Rogers network, or Cogeco Network
In depth knowledge of OTDR testing to prove high losses and open locations with accuracy
Previous experience with providing power meter results including documentation
Extensive experience using single fibre fusion sets, ribbon fibre splicing, live fibre identifiers, ribbon techniques
Proficient in fibre cable termination with connectors a variety of connector types
Experience with all types of fibre closures
The understanding of patch panels, pigtails, patch cords and splice boxes
Experience with live fibre cut overs
Knowledge of work area protection and safe work practices
The ability to read and understand all types of drawings or documents
Electrical Safety Awareness
Fall protection
Self-motivated with good organizational skills and attention to detail
Adaptable to flexible work schedule such as nights when required to meet deadlines
Ability to work and communicate with others in a team environment
Ability to problem solve and work independently
Strong communication and interpersonal skills
Valid class G driver’s license with a clean driver abstract
An AZ or DZ license will be considered an asset
Prolonged stationary positions on your feet or sitting position
Ability to work in a physically demanding atmosphere including, but is not limited to carry, raise, and climb a ladder, carry, lift, and handle heavy equipment (manhole covers, cable reels)
Work aloft off an extension ladder
Stand or sit in awkward positions for an extended period
Ability to work in all weather conditions
Strong manual dexterity and hand-eye coordination

Job Types: Permanent, Full-time
Salary: $32.00-$38.00 per hour
Benefits:

Dental care
Extended health care
Vision care

Schedule:

10 hour shift
8 hour shift
Monday to Friday

Supplemental pay types:

Overtime pay

Experience:

telecommunication: 1 year (preferred)

Work Location: In person"
126,BrokerLink,"Kirkland Lake, ON","501 to 1,000",Insurance,$25M to $100M (USD),1991.0,"



    Job Details
   


Description



Being a part of BrokerLink, means you live our values: to act with integrity, be respectful of others, have a customer-driven mindset, strive for excellence and always treat others with generosity. These values drive our diversity and inclusion efforts to ensure a respectful and inclusive work environment is present.
 We want like-minded individuals who want to provide the highest level of customer service, who carry themselves with utmost professionalism.
 We want to invest in you! Your success is our success and our purpose of “we’re here to help people” is what motivates us to keep the amazing talent we attract, for a long time. We want to bring out the best of all our team members! Offering countless opportunities to grow and an environment which values our most important assets, you, our team members. We have over 200 offices across Canada, ask us about our flexible work arrangements!
 No insurance experience is necessary for this role. We provide and pay for all training to become a licensed insurance broker in any of our Northern Region branches. Once you’re done training, you’ll be on your way to helping people protect what’s most important to them.
 We are looking for a Personal Insurance Advisor to join Brokerlink, in one of our offices in the Northern Region on a Permanent (FT) basis.


 What the Role Entails

Helping customers find insurance solutions that meet their needs.
Ensuring customer satisfaction and offering advice that helps them make informed decisions.
Creating a trusting environment that fosters sales and customer retention.
Testing new sales strategies, techniques and processes while providing feedback.
Actively engaging in training and professional development.

The Successful candidate will have:
 *If you feel you have the equivalent skills, please apply*

Post Secondary Education (required)
Relevant sales and customer service experience
Strong customer focus
Demonstrated ability to handle multiple priorities successfully
Strong analytical and organizational skills
Excellent verbal and written communication skills



 As part of our employee promise, here are some of the many perks of working with us:

Flexible health and dental insurance benefits package
Personal Spending amount to invest in your healthy lifestyle
RRSP - Registered Retirement Savings Plan with Company matching
ESPP - Employee Share Purchase Plan (TSX:IFC) program with matching aspect
‘Dress for your day’, dress according to your daily schedule
Competitive compensation package with bonus aspect
Employee discount program, including Apple, Bell, Rogers and more! 
Paid Time Off in the form of: Personal days, Volunteer days, Exam/Study Time, Jury Duty and starting at 3 weeks of vacation per year!
Working for an employer who is regularly recognized as one of Canada’s best employers such as Kincentric 2022

We thank all applicants for their interest, but only those selected for an interview will be contacted.


 BrokerLink is committed to providing an accessible environment. Accommodations are available on request for candidates taking part in the selection process.


 BrokerLink is committed to creating and maintaining an inclusive environment which embraces our diversities and sees them as our strength! We want to foster a workplace that makes all our team members and customers feel welcome and appreciated.


 Discover more about BrokerLink! Visit our new dedicated Webpage - https://www.brokerlink.ca/campaign/discover-brokerlink


 At BrokerLink, we value diversity and are committed to creating an inclusive workplace that inspires each of us to be the best we can be. Join our team and make a difference!




"
